Mouse,UniqueID,CellNum,Date,BoxSize,Tetrode,Cluster,SessionType,Session_s_,Avg_RateWholeSession,GridnessCentreRemoved,RadiusCentreField,SpatialInformationRate_bits_sec_,SpatialCoherenceUnsmooth,SpatialStability_HalfAndHalf_,MeanVectorLengthForHeadDirection,Coverage___,BorderScore,GridPeakDistance1,GridPeakDistance2,GridPeakDistance3,GridPeakDistance4,GridPeakDistance5,GridPeakDistance6
Barbara,Barbara1,1,04/20/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0420_4+_3+_2+_1,0.272,-0.0902,11.883,0.305,0.205,0.101,0.028,64.84,0.228,30.15,30.15,35.09,35.09,47.65,47.65
Barbara,Barbara2,2,04/20/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0420_4+_3+_2+_1,1.401,-0.3922,10.429,0.165,0.343,0.365,0.019,64.84,0.203,26.62,26.62,26.85,26.85,47.4,47.4
Barbara,Barbara3,3,04/20/2015,90,2,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0420_4+_3+_2+_1,0.7,-0.0415,10.742,0.122,0.118,0.009,0.03,64.84,0.312,27.72,27.72,37.76,37.76,44.04,44.04
Barbara,Barbara4,4,04/20/2015,90,2,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0420_4+_3+_2+_1,1.03,0.0486,10.742,0.078,0.154,0.092,0.043,64.84,0.545,34.62,34.62,37.26,37.26,45,45
Barbara,Barbara5,5,04/20/2015,90,2,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0420_4+_3+_2+_1,0.211,0.4689,10.429,0.033,0.055,0.002,0.019,64.84,0.524,31.8,31.8,31.85,31.85,38.48,38.48
Barbara,Barbara6,6,04/23/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0423_3+_2+_1,0.709,-0.269,9.987,0.223,0.203,0.45,0.138,47.99,0.625,17.46,17.46,29.76,29.76,40.3,40.3
Barbara,Barbara7,7,04/23/2015,90,1,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0423_3+_2+_1,1.375,-0.2565,19.957,0.466,0.184,0.203,0.175,47.99,0.172,43.29,43.29,54.41,54.41,60.41,60.41
Barbara,Barbara8,8,04/23/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0423_3+_2+_1,0.939,0.0149,8.148,0.051,-0.091,0.069,0.141,47.99,0.499,23.75,23.75,28.26,28.26,29.87,29.87
Barbara,Barbara9,9,04/23/2015,90,1,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0423_3+_2+_1,0.628,0.2247,16.039,0.25,0.41,0.546,0.188,47.99,0.189,31.27,31.27,39.54,39.54,43.34,43.34
Barbara,Barbara10,10,04/23/2015,90,1,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0423_3+_2+_1,2.469,0.0698,19.698,0.751,0.32,0.406,0.141,47.99,0.142,36.61,36.61,47.91,47.91,48.77,48.77
Barbara,Barbara16,16,04/27/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0427_1,12.511,-0.1006,14.843,0.93,0.539,0.511,0.06,52.08,0.501,40.93,40.93,44.73,44.73,45.81,45.81
Barbara,Barbara20,20,04/28/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0428_3+_2+_1,12.736,-0.3636,22.312,2.211,0.269,0.336,0.047,40.24,0.437,38.24,38.24,45.7,45.7,46.23,46.23
Barbara,Barbara21,21,04/28/2015,90,1,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0428_3+_2+_1,14.385,-0.0358,11.184,0.535,0.344,0.336,0.025,40.24,0.464,32.71,32.71,39.44,39.44,48.09,48.09
Barbara,Barbara22,22,04/28/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0428_3+_2+_1,15.497,-0.0061,9.987,0.349,0.25,-0.008,0.051,40.24,0.487,19.79,19.79,29.7,29.7,38.2,38.2
Barbara,Barbara20,20,04/29/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0429_1,23.472,-0.5553,20.526,1.587,0.417,0.468,0.042,89.68,0.477,48.13,48.13,57.56,57.56,81.89,81.89
Barbara,Barbara22,22,04/29/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0429_1,17.946,0.2618,11.679,1.419,0.509,0.521,0.101,89.68,0.487,22.54,22.54,46.94,46.94,51,51
Barbara,Barbara24,24,04/29/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0429_1,12.637,0.2269,13.519,1.014,0.428,0.482,0.106,89.68,0.482,47.21,47.21,57.71,57.71,58.54,58.54
Barbara,Barbara27,27,04/30/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0430_2+_1,0.521,-0.2438,10.742,0.104,0.21,0.291,0.245,79.44,0.19,19.67,19.67,26.28,26.28,42.04,42.04
Barbara,Barbara28,28,05/01/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0501_2+_1,3.013,-0.0139,17.124,0.709,0.345,0.353,0.068,58.17,0.649,40.67,40.67,57.8,57.8,60.09,60.09
Barbara,Barbara36,36,05/02/2015,90,1,6,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0502_1,0.714,-0.2617,16.113,0.267,0.22,NaN,0.323,95.32,0.253,38.12,38.12,45.89,45.89,49.75,49.75
Barbara,Barbara37,37,05/02/2015,90,1,7,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0502_1,0.634,-0.0442,13.206,0.198,0.289,0.164,0.164,95.32,-1,39.62,39.62,39.71,39.71,55.24,55.24
Barbara,Barbara38,38,05/02/2015,90,1,8,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0502_1,1.395,-0.2842,13.648,0.551,0.34,0.002,0.241,95.32,-0.614,61.5,61.5,61.85,61.85,62.26,62.26
Barbara,Barbara39,39,05/02/2015,90,1,9,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0502_1,0.223,-0.1827,10.742,0.136,0.065,NaN,0.347,95.32,-1,26.25,26.25,42.35,42.35,46.17,46.17
Barbara,Barbara40,40,05/04/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\k0504_1,3.725,0.7967,10.742,0.636,0.462,0.373,0.059,87.86,0.313,26.79,26.79,27.46,27.46,27.8,27.8
Barbara,Barbara41,41,05/04/2015,90,1,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\k0504_1,0.43,-0.0689,12.508,0.595,0.27,NaN,0.323,87.86,0.079,35.86,35.86,46.59,46.59,53.76,53.76
Barbara,Barbara42,42,05/04/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\k0504_1,1.762,0.2669,11.054,0.968,0.472,0.081,0.062,87.86,0.035,31.03,31.03,31.41,31.41,38.37,38.37
Barbara,Barbara51,51,05/05/2015,90,1,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0505_2+_1,1.119,-0.001,9.987,0.058,0.064,0.142,0.071,75.08,0.456,31.19,31.19,36.89,36.89,53.37,53.37
Barbara,Barbara52,52,05/05/2015,90,1,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0505_2+_1,1.099,0.4537,10.429,0.151,0.211,0.13,0.062,75.08,0.35,21.41,21.41,22.36,22.36,27.89,27.89
Barbara,Barbara53,53,05/05/2015,90,1,6,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0505_2+_1,2.521,0.1582,11.184,0.591,0.577,0.371,0.084,75.08,0.107,30.07,30.07,47.11,47.11,48.89,48.89
Barbara,Barbara48,48,05/05/2015,90,2,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0505_2+_1,5.335,0.2642,12.508,0.27,0.081,0.074,0.05,75.08,0.498,47.19,47.19,51.16,51.16,61.65,61.65
Barbara,Barbara51,51,05/06/2015,90,1,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0506_1,9.19,-0.0661,11.054,0.279,0.183,0.236,0.087,81.03,0.469,26.29,26.29,39.69,39.69,41.46,41.46
Barbara,Barbara55,55,05/06/2015,90,1,8,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0506_1,1.205,-0.0456,10.742,0.234,0.251,0.334,0.048,81.03,0.399,24.87,24.87,29.27,29.27,39,39
Barbara,Barbara56,56,05/06/2015,90,1,9,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0506_1,3.8,0.1671,11.054,0.447,0.31,0.32,0.077,81.03,0.482,24.64,24.64,38.27,38.27,53.03,53.03
Barbara,Barbara58,58,05/06/2015,90,1,11,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0506_1,1.899,0.0824,10.742,0.238,0.154,0.252,0.083,81.03,0.461,26.37,26.37,34.63,34.63,37.36,37.36
Barbara,Barbara59,59,05/06/2015,90,1,12,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0506_1,1.26,-0.0609,9.987,0.129,0.193,0.222,0.049,81.03,0.432,27.77,27.77,34.99,34.99,35.19,35.19
Barbara,Barbara61,61,05/08/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0508_3+_2+_1,2.868,0.3613,11.441,0.684,0.384,0.483,0.058,89.92,-0.198,29.17,29.17,30.7,30.7,42.68,42.68
Barbara,Barbara62,62,05/08/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0508_3+_2+_1,2.338,0.2751,11.753,0.224,0.242,0.211,0.12,89.92,0.44,24.4,24.4,32.32,32.32,46.83,46.83
Barbara,Barbara63,63,05/08/2015,90,2,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0508_3+_2+_1,2.961,0.1417,10.429,0.178,0.356,0.304,0.042,89.92,0.489,28.37,28.37,29.15,29.15,47.37,47.37
Barbara,Barbara61,61,05/09/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0509_4+_3+_2+_1,4.883,-0.0817,11.054,0.654,0.388,0.311,0.033,81.19,0.165,29.05,29.05,30.76,30.76,48.6,48.6
Barbara,Barbara65,65,05/09/2015,90,2,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0509_4+_3+_2+_1,1.453,0.4239,9.987,0.142,0.286,0.296,0.027,81.19,0.488,27.04,27.04,29.14,29.14,45.94,45.94
Barbara,Barbara66,66,05/09/2015,90,2,6,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0509_4+_3+_2+_1,3.498,-0.1566,11.753,0.393,0.218,0.321,0.043,81.19,0.46,23.27,23.27,51.48,51.48,52.23,52.23
Barbara,Barbara67,67,05/11/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0511_5+_4+_3+_2+_1,3.846,0.7702,11.367,0.42,0.238,0.211,0.031,94.05,0.45,29.97,29.97,38.14,38.14,45.78,45.78
Barbara,Barbara68,68,05/11/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0511_5+_4+_3+_2+_1,2.051,0.1646,10.742,0.154,0.199,-0.002,0.052,94.05,0.455,22,22,26.15,26.15,40.92,40.92
Barbara,Barbara69,69,05/11/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0511_5+_4+_3+_2+_1,1.423,0.4708,10.742,0.362,0.362,0.275,0.022,94.05,-0.306,27.45,27.45,29.54,29.54,29.93,29.93
Barbara,Barbara70,70,05/11/2015,90,2,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0511_5+_4+_3+_2+_1,2.02,0.4648,10.742,0.235,0.337,0.337,0.005,94.05,0.136,24.81,24.81,28.19,28.19,32.19,32.19
Barbara,Barbara71,71,05/11/2015,90,2,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0511_5+_4+_3+_2+_1,2.137,-0.376,17.51,0.202,0.233,0.253,0.067,94.05,0.491,35.21,35.21,62.11,62.11,64.86,64.86
Barbara,Barbara72,72,05/11/2015,90,2,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0511_5+_4+_3+_2+_1,0.412,-0.2663,10.429,0.039,0.088,0.181,0.132,94.05,0.474,23.93,23.93,32.35,32.35,42.71,42.71
Barbara,Barbara73,73,05/16/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0516_5+_4+_3+_2+_1,3.574,0.0163,10.429,0.278,0.31,0.261,0.019,78.1,0.423,28.96,28.96,33.93,33.93,39.55,39.55
Barbara,Barbara74,74,05/21/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0521_6+_5+_4+_3+_2+_1,1.384,0.7836,11.054,1.034,0.681,0.226,0.343,75.4,-0.277,39.05,39.05,43.39,43.39,48.98,48.98
Barbara,Barbara75,75,05/21/2015,90,1,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0521_6+_5+_4+_3+_2+_1,0.807,0.7506,10.742,0.173,0.324,0.161,0.17,75.4,-0.128,34.52,34.52,44.46,44.46,46.96,46.96
Barbara,Barbara76,76,05/21/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0521_6+_5+_4+_3+_2+_1,0.314,0.2902,10.742,0.283,0.42,0.319,0.281,75.4,0.053,39.96,39.96,43.18,43.18,47.73,47.73
Barbara,Barbara78,78,05/21/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0521_6+_5+_4+_3+_2+_1,2.06,-0.0488,16.628,0.206,0.162,0.229,0.048,75.4,0.494,35.95,35.95,49.41,49.41,56.82,56.82
Barbara,Barbara80,80,05/21/2015,90,2,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0521_6+_5+_4+_3+_2+_1,4.055,0.5428,12.195,0.926,0.405,-0.271,0.055,75.4,0.233,25.77,25.77,31.91,31.91,43.42,43.42
Barbara,Barbara73,73,05/22/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0522_4+_3+_2+_1,0.699,0.8824,11.054,0.519,0.492,0.388,0.208,84.05,-0.033,41.16,41.16,44.34,44.34,45.75,45.75
Barbara,Barbara77,77,05/22/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0522_4+_3+_2+_1,0.728,-0.5071,16.738,0.765,0.519,0.574,0.153,84.05,-0.231,31.72,31.72,59.57,59.57,60.35,60.35
Barbara,Barbara78,78,05/22/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0522_4+_3+_2+_1,4.061,-0.3564,25.694,0.79,0.471,0.383,0.079,84.05,0.271,57.08,57.08,71.12,71.12,71.27,71.27
Barbara,Barbara81,81,05/22/2015,90,2,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0522_4+_3+_2+_1,1.138,0.2433,14.273,0.655,0.375,0.24,0.683,84.05,0.692,49.52,49.52,51.72,51.72,64.6,64.6
Barbara,Barbara82,82,05/22/2015,90,2,6,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0522_4+_3+_2+_1,1.192,-0.389,15.671,0.621,0.372,0.462,0.185,84.05,0.519,24.95,24.95,36.19,36.19,36.72,36.72
Barbara,Barbara83,83,05/22/2015,90,2,7,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0522_4+_3+_2+_1,0.997,-0.1764,14.218,0.405,0.378,0.341,0.204,84.05,0.36,43.55,43.55,45.44,45.44,48.63,48.63
Barbara,Barbara84,84,05/26/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_1,1.667,0.6028,12.637,0.437,0.32,0.54,0.001,81.67,0.137,40.61,40.61,41.91,41.91,42.52,42.52
Barbara,Barbara85,85,05/26/2015,90,1,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_1,14.044,-0.2393,17.437,0.875,0.39,0.406,0.049,81.67,0.446,42.68,42.68,53.1,53.1,56.07,56.07
Barbara,Barbara86,86,05/26/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_1,0.867,0.0915,14.66,1.084,0.748,0.491,0.173,81.67,-0.179,25.47,25.47,33.41,33.41,47.74,47.74
Barbara,Barbara87,87,05/26/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_1,0.404,0.1568,17.878,0.1,0.111,0.285,0.092,81.67,0.249,41.36,41.36,41.87,41.87,44.93,44.93
Barbara,Barbara88,88,05/26/2015,90,2,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_1,1.835,0.2572,22.734,0.619,0.364,0.399,0.045,81.67,-0.233,52.75,52.75,58.39,58.39,63.76,63.76
Barbara,Barbara84,84,05/26/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_second_4+_3+_2,1.184,1.0616,12.195,0.257,0.197,0.371,0.019,87.38,0.003,39.49,39.49,40.99,40.99,41.04,41.04
Barbara,Barbara85,85,05/26/2015,90,1,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_second_4+_3+_2,9.493,-0.3266,21.042,0.538,0.183,0.396,0.02,87.38,0.438,36.58,36.58,61.77,61.77,72.94,72.94
Barbara,Barbara90,90,05/26/2015,90,1,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_second_4+_3+_2,0.925,0.1791,15.8,0.58,0.501,0.5,0.066,87.38,-0.414,38.27,38.27,44.53,44.53,51.12,51.12
Barbara,Barbara91,91,05/26/2015,90,1,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_second_4+_3+_2,2.716,0.896,12.195,0.927,0.461,0.629,0.036,87.38,0.334,41.33,41.33,43.42,43.42,43.47,43.47
Barbara,Barbara93,93,05/26/2015,90,1,7,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_second_4+_3+_2,1.685,0.8753,13.336,0.638,0.532,0.62,0.068,87.38,-0.015,35.56,35.56,38.08,38.08,40.27,40.27
Barbara,Barbara94,94,05/26/2015,90,1,8,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_second_4+_3+_2,0.318,0.1892,15.414,0.478,0.199,-0.043,0.303,87.38,-1,49.73,49.73,55.96,55.96,60.67,60.67
Barbara,Barbara95,95,06/02/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0602_6+_5+_4+_3+_2+_1,12.787,-0.2663,18.448,0.874,0.359,0.268,0.054,94.6,0.478,46.29,46.29,53.03,53.03,59.89,59.89
Barbara,Barbara96,96,06/02/2015,90,1,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0602_6+_5+_4+_3+_2+_1,0.724,-0.0547,12.452,0.068,-0.004,0.052,0.088,94.6,0.397,29.29,29.29,32.41,32.41,50.62,50.62
Barbara,Barbara97,97,06/02/2015,90,1,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0602_6+_5+_4+_3+_2+_1,0.951,0.0868,11.441,0.086,0.115,0.214,0.078,94.6,0.43,32.93,32.93,37.24,37.24,45.5,45.5
Barbara,Barbara98,98,06/02/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0602_6+_5+_4+_3+_2+_1,1.035,0.2468,10.742,0.275,0.492,-0.019,0.039,94.6,-0.109,17.81,17.81,25.64,25.64,27.82,27.82
Barbara,Barbara99,99,06/02/2015,90,2,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0602_6+_5+_4+_3+_2+_1,27.817,-0.2596,20.914,0.421,0.254,0.426,0.021,94.6,0.467,71.34,71.34,72.11,72.11,73.49,73.49
Barbara,Barbara100,100,06/02/2015,90,2,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0602_6+_5+_4+_3+_2+_1,0.806,-0.1253,17.253,0.396,0.583,0.575,0.126,94.6,-0.466,32.76,32.76,45.82,45.82,64.15,64.15
Barbara,Barbara101,101,06/02/2015,90,2,6,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0602_6+_5+_4+_3+_2+_1,2.743,-0.4728,11.054,0.111,0.202,0.146,0.045,94.6,0.498,31.2,31.2,31.98,31.98,40.26,40.26
Barbara,Barbara116,116,06/03/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0603_7+_6+_5,0.961,1.0628,11.626,0.555,0.266,0.52,0.104,87.06,-0.155,39.73,39.73,41.17,41.17,45.65,45.65
Barbara,Barbara117,117,06/03/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0603_7+_6+_5,3.503,-0.1958,11.054,1.077,0.458,0.367,0.103,87.06,0.049,27.76,27.76,40.28,40.28,44.56,44.56
Barbara,Barbara99,99,06/03/2015,90,2,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0603_7+_6+_5,25.398,-0.5491,13.445,0.275,0.142,0.262,0.024,87.06,0.485,39.46,39.46,45.74,45.74,48.26,48.26
Barbara,Barbara118,118,06/03/2015,90,2,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0603_7+_6+_5,2.099,0.0387,10.742,0.714,0.279,0.23,0.053,87.06,-0.222,27.79,27.79,45.81,45.81,51.74,51.74
Barbara,Barbara119,119,06/03/2015,90,2,6,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0603_7+_6+_5,1.292,1.0526,10.742,0.608,0.458,0.419,0.028,87.06,-0.436,25.02,25.02,28.33,28.33,28.75,28.75
Barbara,Barbara122,122,06/05/2015,90,1,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0605_4+_3+_2+_1,0.798,0.686,12.195,0.528,0.422,0.326,0.395,93.25,0.18,35.52,35.52,35.55,35.55,42.11,42.11
Barbara,Barbara136,136,06/05/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0605_4+_3+_2+_1,0.712,0.8196,12.82,0.317,0.282,0.527,0.134,93.25,-0.175,37.77,37.77,38.48,38.48,44.47,44.47
Barbara,Barbara123,123,06/05/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0605_4+_3+_2+_1,2.885,0.9463,10.742,1.696,0.564,-0.004,0.182,93.25,0.111,33.06,33.06,33.74,33.74,35.09,35.09
Barbara,Barbara124,124,06/05/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0605_4+_3+_2+_1,0.816,0.7922,12.195,0.421,0.441,0.378,0.117,93.25,-0.158,36.44,36.44,39.25,39.25,45.61,45.61
Barbara,Barbara129,129,06/10/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0610_4+_3+_2+_1,0.865,0.9848,12.195,0.726,0.412,0.346,0.149,90.99,-1,34.93,34.93,37.72,37.72,40.11,40.11
Barbara,Barbara126,126,06/10/2015,90,1,6,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0610_4+_3+_2+_1,9.49,-0.4288,20.14,0.808,0.276,0.211,0.046,90.99,0.561,51.42,51.42,57.19,57.19,69.5,69.5
Barbara,Barbara130,130,06/10/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0610_4+_3+_2+_1,1.27,-0.3777,15.726,0.237,0.169,0.12,0.34,90.99,-1,45.67,45.67,58.2,58.2,64.28,64.28
Barbara,Barbara153,153,06/10/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0610_4+_3+_2+_1,0.922,0.7322,11.809,0.789,0.681,0.35,0.067,90.99,-0.709,36.4,36.4,54.16,54.16,76.35,76.35
Barbara,Barbara127,127,06/10/2015,90,2,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0610_4+_3+_2+_1,0.44,0.5692,12.949,0.374,0.597,0.36,0.08,90.99,-1,36.71,36.71,38.11,38.11,40.13,40.13
Barbara,Barbara129,129,06/10/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0610_second_4+_3+_2+_1,1.112,0.9004,11.054,1.229,0.631,0.443,0.062,82.38,-1,38.51,38.51,39.87,39.87,44.33,44.33
Barbara,Barbara130,130,06/10/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0610_second_4+_3+_2+_1,1.033,-0.2476,14.66,0.315,0.241,0.212,0.413,82.38,0.058,28.12,28.12,51.81,51.81,53.18,53.18
Barbara,Barbara131,131,06/10/2015,90,2,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0610_second_4+_3+_2+_1,0.3,-0.0284,11.054,0.763,0.774,0.366,0.157,82.38,-1,38.68,38.68,49.75,49.75,51.12,51.12
Barbara,Barbara132,132,06/11/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0611_4+_3+_2+_1,1.809,-0.5131,25.823,0.301,0.221,0.531,0.168,95.48,0.464,49.52,49.52,57.93,57.93,73.87,73.87
